iter	RMSE
0	4.939609288
1	4.799010008
2	4.661423009
3	4.528028136
4	4.398449166
5	4.28319938
6	4.16636793
7	4.053688082
8	3.93809127
9	3.828056711
10	3.723224499
11	3.619854936
12	3.530548107
13	3.447796086
14	3.365504439
15	3.283792411
16	3.202792599
17	3.127362318
18	3.053643319
19	2.980613973
20	2.905311926
21	2.839285267
22	2.782954078
23	2.719101483
24	2.664659545
25	2.606680894
26	2.544741508
27	2.484162084
28	2.424726376
29	2.369747498
30	2.319116282
31	2.267110117
32	2.220255723
33	2.175527871
34	2.1345214
35	2.092679677
36	2.050518831
37	2.009315898
38	1.968684264
39	1.924431248
40	1.886547301
41	1.852046015
42	1.824789411
43	1.787576519
44	1.752145251
45	1.722480251
46	1.694630695
47	1.665707009
48	1.635832649
49	1.612249713
50	1.586241564
51	1.559976208
52	1.532598636
53	1.505888042
54	1.483018573
55	1.459488782
56	1.432667176
57	1.405120844
58	1.379154686
59	1.355986019
60	1.334988865
61	1.312312735
62	1.2917396
63	1.272611583
64	1.255202448
65	1.235860218
66	1.215296725
67	1.19776583
68	1.181459736
69	1.165339849
70	1.149852056
71	1.13776468
72	1.120734148
73	1.103950371
74	1.091451297
75	1.076275207
76	1.063763918
77	1.051504918
78	1.042668115
79	1.031370298
80	1.017667615
81	1.007857092
82	0.9941065521
83	0.9836581668
84	0.9745772622
85	0.9619624253
86	0.9501053377
87	0.942682758
88	0.9337750223
89	0.9249967194
90	0.9121197768
91	0.902568391
92	0.8922736164
93	0.8843579933
94	0.8754330962
95	0.8693574221
96	0.8624359494
97	0.8547368487
98	0.8460937307
99	0.8361493078
100	0.8281554945
101	0.8221869037
102	0.8149469926
103	0.8078757469
104	0.8005833683
105	0.794110352
106	0.7897785568
107	0.7832318525
108	0.7776316191
109	0.7710183323
110	0.7638780538
111	0.7571303697
112	0.7516153246
113	0.7463393955
114	0.741811044
115	0.7368113892
116	0.7320226716
117	0.7286908614
118	0.7264789723
119	0.7238499026
120	0.718461794
121	0.7141098535
122	0.7126221546
123	0.707348363
124	0.7035016839
125	0.7013119293
126	0.6992486107
127	0.6961768518
128	0.6944787689
129	0.6912246102
130	0.6870601423
131	0.6828319706
132	0.678041652
133	0.6734531354
134	0.6690172899
135	0.6654858612
136	0.6627406877
137	0.6608999686
138	0.6583635638
139	0.6558011839
140	0.6531919106
141	0.6523105868
142	0.6500727419
143	0.647417878
144	0.6452448775
145	0.6433337577
146	0.6408223563
147	0.63762172
148	0.6342744072
149	0.631851483
150	0.6301684523
151	0.6292594339
152	0.6265087132
153	0.6247693931
154	0.6229758936
155	0.6216739192
156	0.6189843561
157	0.6163395573
158	0.6145889599
159	0.6126131373
160	0.6099297997
161	0.6074101497
162	0.605189577
163	0.6022852177
164	0.6006941627
165	0.5995263364
166	0.5988068068
167	0.5980513846
168	0.5965321011
169	0.5949614771
170	0.5932073697
