iter	Passed	Remaining
0	1	949
1	2	819
2	3	773
3	5	846
4	6	814
5	8	799
6	10	852
7	11	831
8	12	815
9	13	814
10	15	830
11	16	818
12	17	806
13	18	792
14	20	783
15	21	786
16	22	780
17	24	777
18	25	771
19	26	769
20	27	767
21	30	791
22	31	790
23	32	786
24	34	783
25	35	782
26	36	780
27	38	779
28	39	780
29	41	782
30	42	780
31	45	798
32	46	799
33	48	802
34	49	803
35	51	802
36	52	803
37	54	803
38	55	802
39	57	802
40	59	814
41	61	815
42	63	828
43	65	828
44	67	826
45	68	824
46	69	822
47	71	822
48	73	822
49	75	828
50	76	825
51	78	822
52	79	825
53	81	822
54	82	819
55	84	816
56	85	812
57	86	809
58	88	813
59	90	810
60	91	808
61	92	806
62	94	802
63	95	799
64	96	796
65	98	793
66	99	789
67	100	785
68	101	782
69	103	782
70	104	779
71	105	776
72	107	773
73	108	769
74	109	765
75	110	762
76	111	759
77	112	755
78	114	752
79	115	749
80	116	747
81	118	746
82	120	748
83	121	745
84	122	742
85	123	738
86	124	735
87	125	732
88	127	729
89	128	726
90	129	724
91	131	723
92	132	724
93	134	723
94	135	721
95	137	719
96	138	717
97	139	715
98	141	713
99	142	712
100	143	709
101	145	708
102	146	707
103	148	706
104	149	705
105	151	704
106	152	702
107	153	700
108	155	698
109	156	696
110	157	695
111	159	693
112	162	699
113	164	699
114	165	697
115	166	695
116	168	693
117	169	691
118	170	689
119	172	688
120	173	686
121	175	686
122	177	686
123	178	685
124	180	684
125	181	683
126	183	681
127	184	680
128	186	679
129	187	677
130	188	675
131	190	675
132	191	673
133	192	671
134	194	669
135	195	666
136	196	664
137	198	663
138	199	661
139	201	660
140	202	659
141	203	657
142	205	657
143	207	656
144	208	654
145	210	653
146	211	652
147	213	650
148	215	652
149	217	653
150	221	658
151	223	657
152	224	656
153	226	654
154	227	652
155	228	650
156	230	649
157	231	648
158	233	646
159	234	645
160	235	643
161	237	641
162	238	639
163	239	637
164	241	635
165	242	633
166	243	630
167	244	628
168	245	626
169	247	625
170	248	624
171	250	622
172	251	620
173	252	618
174	253	616
175	255	615
176	256	613
177	258	612
178	260	613
179	263	614
180	264	612
181	266	611
182	267	609
183	268	607
184	270	605
185	271	603
186	272	601
187	273	599
188	275	598
189	277	598
190	278	596
191	279	594
192	280	592
193	282	590
194	283	588
195	284	586
196	285	584
197	287	582
198	288	581
199	289	579
200	292	579
201	293	578
202	294	576
203	295	574
204	297	572
205	298	570
206	299	568
207	300	566
208	302	565
209	303	563
210	304	561
211	306	560
212	308	559
213	309	557
214	310	556
215	312	554
216	313	552
217	314	551
218	315	549
219	318	549
220	319	547
221	321	547
222	322	545
223	324	544
224	325	542
225	327	541
226	328	539
227	329	538
228	331	536
229	332	535
230	334	534
231	337	535
232	339	534
233	341	533
234	342	532
235	344	531
236	346	530
237	347	529
238	350	529
239	352	528
240	353	527
241	355	525
242	356	524
243	358	522
244	359	520
245	360	518
246	361	516
247	362	515
248	364	514
249	366	513
250	367	511
251	368	509
252	370	508
253	371	506
254	373	504
255	374	503
256	375	501
257	376	499
258	378	497
259	380	496
260	381	495
261	382	493
262	383	491
263	384	489
264	386	488
265	387	486
266	388	484
267	390	483
268	391	481
269	394	482
270	395	480
271	397	479
272	398	477
273	399	475
274	401	474
275	402	472
276	404	471
277	405	469
278	407	468
279	408	467
280	410	465
281	412	465
282	414	464
283	415	462
284	417	461
285	418	459
286	420	458
287	423	459
288	425	457
289	427	456
290	428	455
291	430	454
292	431	452
293	433	451
294	435	449
295	437	448
296	438	447
297	440	446
298	442	445
299	443	443
300	445	442
301	447	441
302	450	442
303	452	440
304	454	439
305	455	437
306	457	436
307	458	434
308	460	433
309	461	431
310	463	430
311	466	430
312	467	428
313	469	427
314	470	425
315	471	424
316	473	422
317	474	420
318	476	419
319	477	417
320	480	417
321	481	416
322	483	414
323	484	412
324	486	411
325	487	409
326	488	408
327	490	406
328	491	404
329	492	403
330	495	402
331	496	401
332	498	399
333	499	397
334	500	396
335	502	394
336	503	392
337	504	391
338	506	389
339	507	388
340	514	390
341	515	388
342	516	387
343	518	385
344	519	383
345	520	382
346	522	380
347	524	379
348	525	378
349	527	376
350	528	374
351	529	373
352	531	371
353	540	375
354	542	374
355	544	372
356	545	371
357	546	369
358	548	368
359	549	366
360	551	364
361	552	363
362	555	362
363	557	361
364	558	359
365	559	357
366	561	356
367	562	354
368	563	352
369	565	351
370	566	349
371	567	347
372	569	346
373	571	345
374	572	343
375	573	341
376	575	340
377	576	338
378	578	337
379	579	335
380	581	334
381	583	332
382	584	331
383	586	329
384	587	328
385	589	326
386	590	325
387	592	323
388	593	321
389	594	320
390	596	318
391	601	319
392	602	317
393	603	315
394	605	314
395	606	312
396	608	310
397	609	309
398	610	307
399	611	305
400	614	305
401	615	303
402	617	301
403	618	300
404	619	298
405	620	296
406	622	295
407	623	293
408	624	291
409	626	290
410	628	289
411	630	287
412	631	285
413	632	284
414	633	282
415	634	280
416	635	279
417	637	277
418	638	275
419	639	273
420	640	272
421	641	270
422	642	269
423	644	267
424	645	265
425	646	264
426	648	262
427	649	260
428	650	259
429	651	257
430	652	255
431	653	254
432	655	252
433	656	251
434	657	249
435	659	248
436	661	246
437	662	245
438	664	243
439	665	242
440	666	240
441	668	238
442	669	237
443	672	236
444	674	234
445	675	233
446	676	231
447	679	230
448	681	229
449	683	227
450	684	226
451	689	225
452	691	224
453	694	223
454	696	222
455	698	220
456	702	219
457	704	218
458	706	216
459	707	215
460	709	213
461	710	212
462	712	210
463	714	209
464	718	208
465	719	206
466	721	205
467	723	203
468	724	202
469	726	200
470	728	199
471	730	197
472	732	196
473	734	195
474	735	193
475	737	192
476	738	190
477	739	188
478	740	187
479	742	185
480	743	183
481	744	182
482	746	180
483	747	179
484	749	177
485	750	175
486	751	174
487	752	172
488	753	171
489	754	169
490	756	167
491	757	166
492	758	164
493	759	163
494	761	161
495	762	159
496	763	158
497	764	156
498	765	155
499	766	153
500	768	151
501	769	150
502	770	148
503	772	147
504	773	145
505	776	144
506	777	142
507	778	141
508	779	139
509	781	137
510	782	136
511	783	134
512	785	133
513	786	131
514	788	130
515	791	128
516	792	127
517	794	125
518	795	124
519	796	122
520	798	121
521	799	119
522	801	117
523	802	116
524	813	116
525	815	114
526	829	114
527	830	113
528	832	111
529	840	111
530	842	109
531	844	107
532	849	106
533	851	105
534	853	103
535	855	102
536	857	100
537	859	99
538	860	97
539	861	95
540	862	94
541	864	92
542	865	90
543	868	89
544	869	87
545	870	86
546	872	84
547	873	82
548	874	81
549	876	79
550	877	78
551	878	76
552	879	74
553	882	73
554	884	71
555	885	70
556	887	68
557	889	66
558	891	65
559	893	63
560	895	62
561	898	60
562	900	59
563	902	57
564	904	56
565	906	54
566	907	52
567	909	51
568	911	49
569	918	48
570	920	46
571	921	45
572	923	43
573	924	41
574	928	40
575	930	38
576	932	37
577	933	35
578	935	33
579	936	32
580	937	30
581	938	29
582	940	27
583	943	25
584	945	24
585	946	22
586	947	20
587	949	19
588	950	17
589	951	16
590	953	14
591	954	12
592	955	11
593	958	9
594	959	8
595	960	6
596	961	4
597	963	3
598	964	1
599	965	0
